epoch,lr,lr-Adam,step,train_loss_epoch,train_loss_step,val_loss
33,0.001000000978820026,,6119,0.2462448924779892,,
,,0.001,6120,,,
,,0.001,6199,,,
34,,,6199,,0.228166401386261,
,,0.001,6299,,,
34,,,6299,,0.2651233673095703,
34,,,6299,,,0.25866830348968506
34,0.001000000978820026,,6299,0.2459108680486679,,
,,0.001,6300,,,
,,0.001,6399,,,
35,,,6399,,0.2664358615875244,
