0.184501;3
0.220861;5
0.007808;3
0.089024;3
0.066664;2
0.028019;4
0.007932;2
0.019883;3
0.013488;3
0.079190;3
0.012824;3
0.025328;4
0.033248;5
0.002930;1
0.029941;3
0.003588;2
0.006731;2
0.158710;6
0.026570;4
0.196138;2
0.121233;3
0.095617;2
0.015986;3
0.091252;4
0.008858;2
0.189297;5
0.041324;3
0.007232;3
0.051050;4
0.010580;4
0.017000;4
0.102892;3
0.018496;3
0.024180;3
0.007354;3
0.045446;3
0.088829;2
0.025562;4
0.021076;3
0.034730;3
0.095112;4
0.014516;4
0.100816;3
0.178999;3
0.182664;4
0.095621;2
0.028461;3
0.016415;2
0.051060;3
0.063919;2
0.063520;4
0.023148;8
0.025114;4
0.025032;2
0.042840;3
0.018378;3
0.040174;4
0.050960;4
0.022130;2
0.197737;3
0.006884;3
0.008230;3
0.007944;2
0.049576;5
0.026675;4
0.019591;2
0.019881;4
0.017204;3
0.057272;2
0.044597;6
0.063108;3
0.151072;3
0.012907;2
0.154555;2
0.006391;2
0.029464;3
0.038566;5
0.149609;3
0.006787;2
0.050428;4
0.014219;2
0.050727;3
0.020854;2
0.045434;4
0.021975;3
0.130864;3
0.080648;3
0.039075;6
0.007342;1
0.037174;4
0.085285;5
0.041039;3
0.033570;5
0.130114;3
0.228114;2
0.185950;4
0.018777;4
0.016795;2
0.144674;4
0.059841;3
0.148878;4
0.188992;3
0.083714;3
0.053757;4
0.054159;19
0.078960;3
0.072103;3
